City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
261,sao francisco,-15.9486,-44.8644,295.18,62,89,1.68,BR,1676605134
262,tiznit,29.5833,-9.5,285.93,77,71,9.29,MA,1676605134
263,ziro,27.6333,93.8333,283.56,38,5,0.25,IN,1676605135
264,bida,9.0833,6.0167,293.92,26,10,2.75,NG,1676605135
265,atambua,-9.1061,124.8925,299.04,80,98,0.74,ID,1676605135
266,irbil,36.1926,44.0106,270.05,63,0,2.06,IQ,1676605136
267,turukhansk,65.8167,87.9833,269.28,95,100,5.37,RU,1676605136
268,sorong,-0.8833,131.25,301.76,72,99,2.16,ID,1676605137
269,el campo,29.1966,-96.2697,283.62,49,100,9.26,US,1676605137
270,amapa,1.0,-52.0,294.87,99,100,0.85,BR,1676604837
271,namwala,-15.7504,26.4384,291.1,97,100,1.35,ZM,1676605138
272,ihosy,-22.4,46.1167,293.89,89,48,0.84,MG,1676605138
273,dergachi,51.2328,48.7659,265.95,97,99,2.61,RU,1676605138
274,palmer,42.1584,-72.3287,285.37,86,100,0.0,US,1676605139
275,sterling,39.0062,-77.4286,287.33,94,100,3.09,US,1676605023
276,ndele,8.4109,20.6473,292.07,24,65,3.48,CF,1676605139
277,lucea,18.451,-78.1736,298.07,80,34,3.41,JM,1676605140
278,henties bay,-22.116,14.2845,290.25,92,48,3.66,NA,1676605140
279,puerto ayora,-0.7393,-90.3518,299.01,96,14,0.89,EC,1676605140
280,ancud,-41.8697,-73.8203,282.25,69,94,2.68,CL,1676605141
281,bathsheba,13.2167,-59.5167,298.49,73,75,10.29,BB,1676605141
282,chernyshevskiy,63.0128,112.4714,257.09,92,100,4.61,RU,1676605142
283,tucuman,-26.8241,-65.2226,292.15,94,100,0.51,AR,1676605142
284,grindavik,63.8424,-22.4338,272.41,74,75,6.17,IS,1676605143
285,aqtobe,50.2797,57.2072,262.2,79,100,6.0,KZ,1676605144
286,zhoucheng,35.9122,116.3117,283.05,53,73,5.52,CN,1676605144
287,mizan teferi,6.9833,35.5833,290.45,46,46,1.31,ET,1676605145
288,shenjiamen,29.9576,122.298,283.59,77,6,3.68,CN,1676605145
